"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","OnLandmasswithHighMountains","Distancetohighmountain"
"4588","chun1247","Ch'ungch'ongdo","Eurasia",36.63,127.31,"chun1247","","","kore1284","kore1280",FALSE,FALSE,48.5041268878797,TRUE,TRUE,1944.29894906967
"4589","sang1343","Sanglechi-Ishkashimi","Eurasia",36.635405,71.67426,"sang1343","sgl","AF;TJ","indo1319","",FALSE,FALSE,1202.87889920111,TRUE,TRUE,0
"4590","ishk1246","Ishkashimi","Eurasia",36.67,71.55,"ishk1246","isk","AF","indo1319","",FALSE,FALSE,1204.10534900553,TRUE,TRUE,0
"4591","xini1234","Xining Mandarin","Eurasia",36.671283,101.776886,"xini1234","","","sino1245","mand1415",FALSE,FALSE,1316.89642280956,TRUE,TRUE,0.788867102233376
"4592","jina1245","Jinan Mandarin","Eurasia",36.690777,116.997299,"jina1245","","","sino1245","mand1415",FALSE,FALSE,157.012158386857,TRUE,TRUE,1027.82009292367
"4593","khun1255","Khunsaric","Eurasia",36.6963,49.3742,"khun1255","kfm","IR","indo1319","",FALSE,FALSE,83.3179991352606,TRUE,TRUE,379.424288982137
"4594","nott1246","Nottoway","North America",36.72,-77.115,"nott1246","ntw","US","iroq1247","",FALSE,FALSE,47.9650681024777,TRUE,TRUE,2246.813355424
"4595","assy1241","Assyrian Neo-Aramaic","Eurasia",36.75,43,"assy1241","aii","IR;IQ;SY;TR","afro1255","",FALSE,FALSE,515.599034972214,TRUE,TRUE,329.93876665067
"4596","shah1254","Shahrudi-Southern Talysh","Eurasia",36.7581,50.2074,"shah1254","shm","IR","indo1319","",FALSE,FALSE,34.8990615655083,TRUE,TRUE,386.012624960614
"4597","side1240","Sidetic","Eurasia",36.764,31.917,"side1240","xsd","TR","indo1319","",FALSE,FALSE,18.8976318193484,TRUE,TRUE,994.607564111724
"4598","osag1243","Osage","North America",36.7828,-96.2949,"osag1243","osa","US","siou1252","",FALSE,FALSE,726.569818791894,TRUE,TRUE,754.237221292272
"4599","sout2986","Southern Ohlone","North America",36.787073,-121.487098,"sout2986","css","US","miwo1274","",FALSE,FALSE,25.939422554286,TRUE,TRUE,135.329379165221
"4600","kans1243","Kansa","North America",36.8044,-96.8571,"kans1243","ksk","US","siou1252","",FALSE,FALSE,730.496104060123,TRUE,TRUE,704.134785076598
"4601","jica1244","Jicarilla Apache","North America",36.8079,-107.007,"jica1244","apj","US","atha1245","",FALSE,FALSE,966.635266468211,TRUE,TRUE,0
"4602","bact1239","Bactrian","Eurasia",36.81,66.85,"bact1239","xbc","AF","indo1319","",FALSE,FALSE,1133.60621848193,TRUE,TRUE,14.8209406499946
"4603","tuuu1240","Tu","Eurasia",36.8177,102.117,"tuuu1240","mjg","CN","mong1349","",FALSE,FALSE,1290.28876420979,TRUE,TRUE,32.1572961701711
"4604","mara1373","Maraghei","Eurasia",36.8259,49.9665,"mara1373","vmh","IR","indo1319","",FALSE,FALSE,42.92332414879,TRUE,TRUE,373.418612531184
"4605","gurg1241","Gurgani","Eurasia",36.83,54.43,"gurg1241","","IR","indo1319","",FALSE,FALSE,35.4516902848521,TRUE,TRUE,583.626098335976
"4606","gura1251","Gurani","Eurasia",36.8377,44.4956,"gura1251","hac","IR;IQ","indo1319","",FALSE,FALSE,389.139078909908,TRUE,TRUE,298.112661111769
"4607","khoi1250","Kho'ini","Eurasia",36.8997,48.6212,"khoi1250","xkc","IR","indo1319","",FALSE,FALSE,82.2737566214834,TRUE,TRUE,356.800293229614
"4608","quap1242","Quapaw","North America",36.9471,-94.6634,"quap1242","qua","US","siou1252","",FALSE,FALSE,726.291982560763,TRUE,TRUE,899.197426733297
"4609","powh1243","Powhatan","North America",36.99422,-77.20752,"powh1243","pim","US","algi1248","",FALSE,FALSE,33.5141952460503,TRUE,TRUE,2225.04135846115
"4610","sout2969","Southern Paiute","North America",37,-114,"sout2969","","","utoa1244","utes1238",FALSE,FALSE,608.705356092323,TRUE,TRUE,254.17808976994
"4611","nort2641","Northern Kurdish","Eurasia",37,43,"nort2641","kmr","AM;AZ;IR;IQ;JO;KW;SY;TR;TM","indo1319","",FALSE,FALSE,511.935033954157,TRUE,TRUE,303.852522008351
"4612","mlah1239","Mlahsô","Eurasia",37.0311,41.2209,"mlah1239","lhs","SY","afro1255","",FALSE,FALSE,438.506509113794,TRUE,TRUE,382.490043598731
"4613","salc1238","Salchuq","Eurasia",37.0392,47.3487,"salc1238","slq","IR","turk1311","",FALSE,FALSE,152.753831461238,TRUE,TRUE,368.688730661977
"4614","part1239","Parthian","Eurasia",37.052,56.056,"part1239","xpr","IR","indo1319","",FALSE,FALSE,175.666435498476,TRUE,TRUE,525.793638762729
"4615","kaba1276","Kabatei","Eurasia",37.0529,49.7603,"kaba1276","xkp","IR","indo1319","",FALSE,FALSE,42.7821210398313,TRUE,TRUE,344.964520202074
"4616","picu1248","Picuris Northern Tiwa","North America",37.083011,-105.267144,"picu1248","","US","kiow1265","",FALSE,FALSE,1020.10131484446,TRUE,TRUE,0
"4617","turk1304","Turkmen","Eurasia",37.0872,59.1757,"turk1304","tuk","AF;IR;IQ;PK;TJ;TR;TM;UZ","turk1311","",FALSE,FALSE,449.656189932662,TRUE,TRUE,294.234440620542
"4618","rudb1238","Rudbari","Eurasia",37.0878,49.8801,"rudb1238","rdb","IR","indo1319","",FALSE,FALSE,35.022866977979,TRUE,TRUE,343.370319089658
"4619","chal1275","Chaldean Neo-Aramaic","Eurasia",37.0972,43.5027,"chal1275","cld","IQ;SY;TR","afro1255","",FALSE,FALSE,467.987594007035,TRUE,TRUE,280.377071792356
"4620","clas1252","Classical Syriac","Eurasia",37.1129,42.1432,"clas1252","syc","TR","afro1255","",FALSE,FALSE,466.860116899622,TRUE,TRUE,327.702842151878
"4621","rong1271","Rongcheng Mandarin","Eurasia",37.130642,122.434269,"rong1271","","","sino1245","mand1415",FALSE,FALSE,0.776431581212751,TRUE,TRUE,1514.07973459273
"4622","gila1241","Gilaki","Eurasia",37.1344,49.8359,"gila1241","glk","IR","indo1319","",FALSE,FALSE,32.955307214427,TRUE,TRUE,337.467202384204
"4623","ping1247","Pingyao","Eurasia",37.1390706,111.9656111,"ping1247","","","sino1245","jiny1235",FALSE,FALSE,450.604302948608,TRUE,TRUE,617.959557081802
"4624","sout2649","Southern Pashto","Eurasia",37.17,68.25,"sout2649","pbt","AF;IR;PK;TJ;TM","indo1319","",FALSE,FALSE,1236.2941584628,TRUE,TRUE,39.119663707272
"4625","wakh1245","Wakhi","Eurasia",37.1768,73.9777,"wakh1245","wbl","AF;CN;PK;TJ","indo1319","",FALSE,FALSE,1309.44056137774,TRUE,TRUE,0
"4626","mono1275","Mono (USA)","North America",37.1935,-119.347,"mono1275","mnr","US","utoa1244","",FALSE,FALSE,169.478252839005,TRUE,TRUE,0
"4627","cari1274","Carian","Eurasia",37.203,28.182,"cari1274","xcr","TR","indo1319","",FALSE,FALSE,17.8815091963474,TRUE,TRUE,883.941542471932
"4628","taji1248","Tajiki Arabic","Eurasia",37.2176,67.3267,"taji1248","abh","AF;TJ;UZ","afro1255","",FALSE,FALSE,1165.71944281966,TRUE,TRUE,50.8327932062042
"4629","turo1239","Turoyo","Eurasia",37.2275,42.1451,"turo1239","tru","IQ;LB;SY;TR","afro1255","",FALSE,FALSE,455.161620546248,TRUE,TRUE,317.093336804777
"4630","pisi1234","Pisidian","Eurasia",37.273,31.28,"pisi1234","xps","TR","indo1319","",FALSE,FALSE,47.4767406412107,TRUE,TRUE,953.689698356645
"4631","hert1241","Hertevin","Eurasia",37.373,42.5192,"hert1241","hrt","TR","afro1255","",FALSE,FALSE,455.766024228312,TRUE,TRUE,285.410638991624
"4632","nort2969","Northern Ohlone","North America",37.436487,-121.827674,"nort2969","cst","US","miwo1274","",FALSE,FALSE,16.9658896326988,TRUE,TRUE,131.179485750273
"4633","kore1280","Korean","Eurasia",37.5,128,"kore1280","kor","CN;KP;KR;RU","kore1284","",FALSE,FALSE,66.7380405035485,TRUE,TRUE,1949.22754311687
"4634","shug1248","Shughni","Eurasia",37.5018,71.7925,"shug1248","sgh","AF;TJ","indo1319","",FALSE,FALSE,1290.90826908898,TRUE,TRUE,0
