"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","Distancetomountain"
"214","tupi1273","Tupinambá","South America",-22.807778,-42.106389,"tupi1273","tpn","BR","tupi1275","",FALSE,FALSE,11.0970045761145,TRUE,34.9228307828341
"215","sout2920","Southern Betsimisaraka Malagasy","Africa",-22.8,47.82,"sout2920","bzc","MG","aust1307","",FALSE,FALSE,1.86880638837406,TRUE,51.3995577049509
"216","pitt1247","Pitta Pitta","Australia",-22.7952,139.983,"pitt1247","pit","AU","pama1250","",FALSE,FALSE,556.401058551999,TRUE,795.977470165317
"217","pany1241","Panytyima","Australia",-22.7816,118.723,"pany1241","pnw","AU","pama1250","",FALSE,FALSE,232.415004005557,TRUE,1277.52318747217
"218","gang1268","Gangulu","Australia",-22.7637,149.416,"gang1268","gnl","AU","pama1250","",FALSE,FALSE,41.461897531659,TRUE,697.957560931513
"219","wanm1242","Wanman","Australia",-22.7078,122.325,"wanm1242","wbt","AU","pama1250","",FALSE,FALSE,328.472397528613,TRUE,938.28516597366
"220","leng1262","Lengua","South America",-22.6559,-58.9053,"leng1262","","PY","leng1261","",FALSE,FALSE,1005.62056844016,TRUE,492.493546129277
"221","masi1268","Masikoro Malagasy","Africa",-22.5582,43.8156,"masi1268","msh","MG","aust1307","",FALSE,FALSE,47.7450914161529,TRUE,213.724553967343
"222","chan1322","Chané","South America",-22.54736,-63.98651,"chan1322","caj","BO","araw1281","tere1279",FALSE,FALSE,578.506966806165,TRUE,1.70875525357943
"223","nort2971","Northern Lengua","South America",-22.54,-58.98,"nort2971","enl","","leng1261","",FALSE,FALSE,1016.95184689727,TRUE,480.051581410704
"224","ande1247","Andegerebinha","Australia",-22.51278,137.3515,"ande1247","adg","AU","pama1250","",FALSE,FALSE,622.438356435109,TRUE,656.554892359701
"225","sana1298","Sanapaná","South America",-22.49,-58.38,"sana1298","spn","PY","leng1261","",FALSE,FALSE,966.295471160116,TRUE,477.991140220108
"226","pini1244","Pinigura","Australia",-22.4729,116.538,"pini1244","pnv","AU","pama1250","",FALSE,FALSE,130.677725737743,TRUE,1501.03331291608
"227","warl1256","Warluwara","Australia",-22.2909,138.738,"warl1256","wrb","AU","pama1250","",FALSE,FALSE,536.815663736292,TRUE,786.197538670394
"228","anma1239","Anmatyerre","Australia",-22.2853,133.286,"anma1239","amx","AU","pama1250","",FALSE,FALSE,781.55906318908,TRUE,433.546270143205
"229","ofay1240","Ofayé","South America",-22.278,-53.7227,"ofay1240","opy","BR","nucl1710","",FALSE,FALSE,588.562385021965,TRUE,303.360024081431
"230","gwii1239","/Gwi","Africa",-22.2708,21.9431,"gwii1239","gwj","BW","khoe1240","",FALSE,FALSE,687.804067864594,TRUE,788.778842139354
"231","kurr1243","Kurrama","Australia",-22.2134,117.51,"kurr1243","vku","AU","pama1250","",FALSE,FALSE,159.517414639381,TRUE,1416.33934555219
"232","iyow1239","Iyo'wujwa Chorote","South America",-22.2067,-62.6508,"iyow1239","crq","AR;BO;PY","mata1289","",FALSE,FALSE,697.658075946727,TRUE,104.877593692511
"233","dhal1245","Dhalandji","Australia",-22.196,114.937,"dhal1245","dhl","AU","pama1250","",FALSE,FALSE,36.4283637247709,TRUE,1667.16858874035
"234","iyoj1235","Iyojwa'ja Chorote","South America",-22.1896,-63.2383,"iyoj1235","crt","AR","mata1289","",FALSE,FALSE,643.279720481259,TRUE,45.3394827394458
"235","vend1245","Venda","Africa",-22.188,29.9523,"vend1245","ven","BW;ZA;ZW","atla1278","",FALSE,FALSE,436.286213640194,TRUE,158.190576696527
"236","puri1262","Puri","South America",-22.175627,-44.711336,"puri1262","prr","BR","puri1261","",FALSE,FALSE,88.1020153650511,TRUE,0
"237","birw1238","Birwa","Africa",-22.17,28.33,"birw1238","brl","BW;ZA;ZW","atla1278","",FALSE,FALSE,538.107025986257,TRUE,227.163780519327
"238","naro1249","Naro","Africa",-22.0939,20.7458,"naro1249","nhr","BW;NA","khoe1240","",FALSE,FALSE,579.743588784293,TRUE,847.674818296001
"239","kuaa1238","Southern Tshwa","Africa",-22.0237,26.0158,"kuaa1238","tyu","BW","khoe1240","",FALSE,FALSE,712.140298718414,TRUE,420.034510871612
"240","afri1274","Afrikaans","Africa",-22,30,"afri1274","afr","BW;MZ;NA;ZA;ZM;ZW","indo1319","",FALSE,FALSE,448.473522650698,TRUE,178.276001139601
"241","wich1262","Wichí Lhamtés Nocten","South America",-21.988,-63.5971,"wich1262","mtp","AR;BO","mata1289","",FALSE,FALSE,606.097612941112,TRUE,4.29404031761978
"242","guan1268","Guana (Paraguay)","South America",-21.9803,-58.0654,"guan1268","gva","BR;PY","leng1261","",FALSE,FALSE,962.548755353048,TRUE,427.059935738853
"243","kung1261","North-Central Ju","Africa",-21.92,18,"kung1261","knw","AO;NA;ZA","kxaa1236","",FALSE,FALSE,331.3230302078,TRUE,589.175934984222
"244","gana1274","//Gana","Africa",-21.8555,22.2003,"gana1274","gnk","BW","khoe1240","",FALSE,FALSE,716.985157039054,TRUE,778.824277427153
"245","yala1262","Yalarnnga","Australia",-21.731,139.511,"yala1262","ylr","AU","pama1250","",FALSE,FALSE,450.847497590208,TRUE,887.084430672062
"246","nyam1271","Nyamal","Australia",-21.6092,119.693,"nyam1271","nly","AU","pama1250","",FALSE,FALSE,152.972676390937,TRUE,1235.61937133615
"247","kayt1238","Kaytetye","Australia",-21.5844,133.602,"kayt1238","gbb","AU","pama1250","",FALSE,FALSE,722.229274124275,TRUE,517.184613795796
"248","toba1268","Toba-Maskoy","South America",-21.5474,-58.0158,"toba1268","tmf","BR;PY","leng1261","",FALSE,FALSE,980.426767572971,TRUE,381.345407115522
"249","yind1247","Yindjibarndi","Australia",-21.5379,117.001,"yind1247","yij","AU","pama1250","",FALSE,FALSE,85.85178543451,TRUE,1492.85046444374
"250","shua1254","Shua","Africa",-21.52,26.0238,"shua1254","shg","BW;ZW","khoe1240","",FALSE,FALSE,743.065689124976,TRUE,454.501241394521
"251","tapi1253","Tapieté","South America",-21.4169,-62.684,"tapi1253","tpj","AR;BO;PY","tupi1275","",FALSE,FALSE,682.479866474559,TRUE,82.6102016986356
"252","coro1248","Koropó","South America",-21.3907,-42.716,"coro1248","xxr","BR","nucl1710","",FALSE,FALSE,138.345505025163,TRUE,11.9192671682259
"253","nhuw1239","Nhuwala","Australia",-21.38154,115.74542,"nhuw1239","nhf","AU","pama1250","",FALSE,FALSE,10.678697422611,TRUE,1619.80314515405
"254","guwa1242","Guwa","Australia",-21.35147706,142.5243782,"guwa1242","xgw","AU","pama1250","",FALSE,FALSE,410.441578420041,TRUE,996.138292759898
"255","kala1384","Kalanga","Africa",-21.2887,27.401,"kala1384","kck","BW;ZA;ZW","atla1278","",FALSE,FALSE,662.24506214727,TRUE,364.129317358195
"256","yand1251","Yanda","Australia",-21.23270508,140.5134756,"yand1251","yda","AU","pama1250","",FALSE,FALSE,378.316636444765,TRUE,971.870126864952
"257","kxau1241","Groot Laagte =/Kx'au//'ein","Africa",-21.0554,21.1793,"kxau1241","aue","BW;NA","kxaa1236","juho1239",FALSE,FALSE,641.648038816495,TRUE,851.928462733164
"258","alya1239","Alyawarr","Australia",-21.0427,136.835,"alya1239","aly","AU","pama1250","",FALSE,FALSE,499.861734975888,TRUE,734.039194754281
"259","bula1255","Bularnu","Australia",-21.02656922,138.1566659,"bula1255","","AU","pama1250","",FALSE,FALSE,430.51489059978,TRUE,828.096741960186
"260","here1253","Herero","Africa",-21.0231,20.5655,"here1253","her","BW;NA","atla1278","",FALSE,FALSE,587.803830236732,TRUE,789.546342520422
"261","ngar1288","Ngardi","Australia",-21.0231,129.0308,"ngar1288","rxd","AU","pama1250","",FALSE,FALSE,571.249341341563,TRUE,581.123047656626
"262","kalk1246","Kalkutung","Australia",-21,139.5,"kalk1246","ktg","AU","pama1250","",FALSE,FALSE,371.670808328696,TRUE,934.709483310318
"263","mart1255","Martuthunira","Australia",-20.9294,116.607,"mart1255","vma","AU","pama1250","",FALSE,FALSE,17.0169811162248,TRUE,1557.33477525894
"264","ngar1287","Ngarluma","Australia",-20.9235,117.203,"ngar1287","nrl","AU","pama1250","",FALSE,FALSE,24.7953659231785,TRUE,1501.38438882988
