"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide"
"1066","daga1275","Daga","Papunesia",-9.9747,149.263,"daga1275","dgz","PG","daga1274","",FALSE,FALSE
"1067","pang1287","Pangwa","Africa",-9.96782,34.8039,"pang1287","pbr","TZ","atla1278","",FALSE,FALSE
"1068","kisi1243","Kisi","Africa",-9.93,34.4825,"kisi1243","kiz","MW;TZ","atla1278","",FALSE,FALSE
"1069","mari1438","Maria (Papua New Guinea)","Papunesia",-9.92982,148.303,"mari1438","mds","PG","manu1261","",FALSE,FALSE
"1070","wako1235","Wakoná","South America",-9.91666,-36.5,"wako1235","waf","BR","unat1236","",FALSE,FALSE
"1071","uman1240","Umanakaina","Papunesia",-9.89671,149.658,"uman1240","gdn","PG","daga1274","",FALSE,FALSE
"1072","ndal1241","Ndali","Africa",-9.88948,33.6118,"ndal1241","ndh","MW;TZ","atla1278","",FALSE,FALSE
"1073","yami1256","Yaminahua","South America",-9.8846,-71.5964,"yami1256","yaa","BO;BR;PE","pano1259","",FALSE,FALSE
"1074","kamb1299","Kambera","Papunesia",-9.88447,120.235,"kamb1299","xbr","ID","aust1307","",FALSE,FALSE
"1075","sama1300","Sama","Africa",-9.86931,13.8713,"sama1300","smd","AO","atla1278","",FALSE,FALSE
"1076","shar1245","Sharanahua","South America",-9.8626,-71.1232,"shar1245","mcd","BR;PE","pano1259","",FALSE,FALSE
"1077","pana1306","Panao Huánuco Quechua","South America",-9.85887,-75.4382,"pana1306","qxh","PE","quec1387","",FALSE,FALSE
"1078","kari1255","Karirí-Xocó","South America",-9.84999,-36.3333,"kari1255","kzw","BR","uncl1493","",FALSE,TRUE
"1079","marg1254","Margos-Yarowilca-Lauricocha Quechua","South America",-9.84463,-76.4981,"marg1254","qvm","PE","quec1387","",FALSE,FALSE
"1080","tura1265","Turaka","Papunesia",-9.83576,149.567,"tura1265","trh","PG","daga1274","",FALSE,FALSE
"1081","bauw1240","Bauwaki","Papunesia",-9.82577,148.815,"bauw1240","bwk","PG","mail1249","",FALSE,FALSE
"1082","ajyi1238","Ajyíninka Apurucayali","South America",-9.82364,-74.61947,"ajyi1238","cpc","PE","araw1281","",FALSE,FALSE
"1083","sina1266","Sinaugoro","Papunesia",-9.79791,147.861,"sina1266","snc","PG","aust1307","",FALSE,FALSE
"1084","ngin1244","Ngindo","Africa",-9.78145,37.9832,"ngin1244","nnq","TZ","atla1278","",FALSE,FALSE
"1085","mape1250","Mapena","Papunesia",-9.77803,149.495,"mape1250","mnm","PG","daga1274","",FALSE,FALSE
"1086","uabm1237","Uab Meto","Papunesia",-9.77284,124.144,"uabm1237","aoz","ID;TL","aust1307","",FALSE,FALSE
"1087","tali1259","Talise","Papunesia",-9.76764,160.231,"tali1259","tlr","SB","aust1307","",FALSE,FALSE
"1088","anem1248","Aneme Wake","Papunesia",-9.75911,148.479,"anem1248","aby","PG","yare1250","",FALSE,FALSE
"1089","sout2866","South Marquesan","Papunesia",-9.75663,-138.979,"sout2866","mqm","PF","aust1307","",FALSE,FALSE
"1090","mwer1248","Mwera (Chimwera)","Africa",-9.75639,38.8762,"mwer1248","mwe","TZ","atla1278","",FALSE,FALSE
"1091","long1395","Longgu","Papunesia",-9.75258,160.663,"long1395","lgu","SB","aust1307","",FALSE,FALSE
"1092","wasu1238","Wasu","South America",-9.74999,-36.8333,"wasu1238","wsu","BR","unat1236","",FALSE,FALSE
"1093","tuxi1238","Tuxináwa","South America",-9.74999,-69.0167,"tuxi1238","tux","BR","pano1259","",FALSE,FALSE
"1094","oroh1237","Oroha","Papunesia",-9.7386,161.513,"oroh1237","ora","SB","aust1307","",FALSE,FALSE
"1095","bira1254","Birao","Papunesia",-9.73716,160.52,"bira1254","brr","SB","aust1307","",FALSE,FALSE
"1096","gapa1238","Gapapaiwa","Papunesia",-9.73317,149.854,"gapa1238","pwg","PG","aust1307","",FALSE,FALSE
"1097","cash1254","Cashinahua","South America",-9.72027,-71.1733,"cash1254","cbs","BR;PE","pano1259","",FALSE,FALSE
"1098","nyak1260","Nyakyusa-Ngonde","Africa",-9.71018,33.7763,"nyak1260","nyy","MW;TZ","atla1278","",FALSE,FALSE
"1099","hume1246","Humene","Papunesia",-9.70693,147.562,"hume1246","huf","PG","kwal1257","",FALSE,FALSE
"1100","lamb1273","Lamboya","Papunesia",-9.70434,119.344,"lamb1273","lmy","ID","aust1307","",FALSE,FALSE
"1101","dima1252","Dima","Papunesia",-9.70322,149.605,"dima1252","jma","PG","daga1274","",FALSE,FALSE
"1102","maiw1251","Maiwa (Papua New Guinea)","Papunesia",-9.69836,149.274,"maiw1251","mti","PG","daga1274","",FALSE,FALSE
"1103","wanu1241","Wanukaka","Papunesia",-9.69834,119.468,"wanu1241","wnk","ID","aust1307","",FALSE,FALSE
"1104","uare1241","Uare","Papunesia",-9.69571,147.687,"uare1241","ksj","PG","kwal1257","",FALSE,FALSE
"1105","mula1254","Mulaha","Papunesia",-9.68333,147.45,"mula1254","mfw","PG","kwal1257","",FALSE,FALSE
"1106","motu1246","Motu","Papunesia",-9.67492,147.424,"motu1246","meu","PG","aust1307","",FALSE,FALSE
"1107","aree1239","Are","Papunesia",-9.67147,149.999,"aree1239","mwc","PG","aust1307","",FALSE,FALSE
"1108","anuk1239","Anuki","Papunesia",-9.6692,149.822,"anuk1239","aui","PG","aust1307","",FALSE,FALSE
"1109","chok1245","Chokwe","Africa",-9.66082,21.3992,"chok1245","cjk","AO;CD;NA;ZM","atla1278","",FALSE,FALSE
"1110","kodi1247","Kodi-Gaura","Papunesia",-9.6373,119.114,"kodi1247","kod","ID","aust1307","",FALSE,FALSE
"1111","doga1238","Doga","Papunesia",-9.63698,149.841,"doga1238","dgg","PG","aust1307","",FALSE,FALSE
"1112","anak1240","Anakalangu","Papunesia",-9.63425,119.605,"anak1240","akg","ID","aust1307","",FALSE,FALSE
"1113","dobu1241","Dobu","Papunesia",-9.63239,150.825,"dobu1241","dob","PG","aust1307","",FALSE,FALSE
"1114","mala1484","Malango","Papunesia",-9.61383,160.118,"mala1484","mln","SB","aust1307","",FALSE,FALSE
"1115","saaa1240","Sa'a","Papunesia",-9.60258,161.467,"saaa1240","apb","SB","aust1307","",FALSE,FALSE
"1116","moik1239","Moikodi","Papunesia",-9.60232,148.312,"moik1239","mkp","PG","yare1250","",FALSE,FALSE
"1117","mina1269","Minaveha","Papunesia",-9.59922,150.501,"mina1269","mvn","PG","aust1307","",FALSE,FALSE
"1118","meri1244","Meriam","Papunesia",-9.59575,143.773,"meri1244","ulk","PG","east2503","",FALSE,FALSE
"1119","xere1240","Xerénte","South America",-9.59426,-48.2629,"xere1240","xer","BR","nucl1710","",FALSE,FALSE
"1120","ubir1237","Ubir","Papunesia",-9.59044,149.396,"ubir1237","ubr","PG","aust1307","",FALSE,FALSE
"1121","liwe1234","Liwengi","Africa",-9.58491,35.12116,"liwe1234","","","atla1278","bena1262",FALSE,FALSE
"1122","moli1248","Molima","Papunesia",-9.57457,150.614,"moli1248","mox","PG","aust1307","",FALSE,FALSE
"1123","hual1241","Huallaga Huánuco Quechua","South America",-9.57135,-75.594,"hual1241","qub","PE","quec1387","",FALSE,FALSE
"1124","piji1239","Pijin","Papunesia",-9.567,160.137,"piji1239","pis","SB","indo1319","",FALSE,FALSE
"1125","doro1266","Doromu-Koki","Papunesia",-9.56687,147.986,"doro1266","kqc","PG","manu1261","",FALSE,FALSE
"1126","leng1259","Lengo","Papunesia",-9.56425,160.42,"leng1259","lgr","SB","aust1307","",FALSE,FALSE
"1127","weje1237","Wewewa","Papunesia",-9.55099,119.349,"weje1237","wew","ID","aust1307","",FALSE,FALSE
"1128","gale1257","Galeya","Papunesia",-9.54137,150.836,"gale1257","gar","PG","aust1307","",FALSE,FALSE
"1129","nyih1239","Nyiha (Malawi)","Africa",-9.5372,33.0995,"nyih1239","nyr","MW;TZ;ZM","atla1278","",FALSE,FALSE
"1130","maka1325","Makanjaula","Africa",-9.52396,34.79638,"maka1325","","","atla1278","bena1262",FALSE,FALSE
"1131","gras1249","Grass Koiari","Papunesia",-9.51218,147.437,"gras1249","kbk","PG","koia1260","",FALSE,FALSE
"1132","bwai1242","Bwaidoka","Papunesia",-9.51158,150.297,"bwai1242","bwd","PG","aust1307","",FALSE,FALSE
"1133","yare1248","Yareba","Papunesia",-9.50651,148.605,"yare1248","yrb","PG","yare1250","",FALSE,FALSE
"1134","papa1263","Papavô","South America",-9.5,-72,"papa1263","ppv","BR","unat1236","",FALSE,FALSE
"1135","ucay1237","Ucayali-Yurúa Ashéninka","South America",-9.49424,-73.1836,"ucay1237","cpb","BR;PE","araw1281","",FALSE,FALSE
"1136","lamb1272","Lambya","Africa",-9.49372,33.15852,"lamb1272","lai","MW;TZ;ZM","atla1278","",FALSE,FALSE
"1137","ghar1239","Ghari","Papunesia",-9.4791,159.917,"ghar1239","gri","SB","aust1307","",FALSE,FALSE
"1138","kaxa1239","Kaxararí","South America",-9.47288,-66.3329,"kaxa1239","ktx","BR","pano1259","",FALSE,FALSE
"1139","maia1251","Maiadomu","Papunesia",-9.47132,150.76,"maia1251","mzz","PG","aust1307","",FALSE,FALSE
"1140","nucl1630","Barai","Papunesia",-9.46246,147.899,"nucl1630","bbb","PG","koia1260","",FALSE,FALSE
"1141","iama1237","Iamalele","Papunesia",-9.45005,150.573,"iama1237","yml","PG","aust1307","",FALSE,FALSE
"1142","bose1237","Boselewa","Papunesia",-9.44763,150.693,"bose1237","bwf","PG","aust1307","",FALSE,FALSE
"1143","nyih1240","Nyiha (Tanzania)","Africa",-9.4472,32.9057,"nyih1240","nih","MW;TZ;ZM","atla1278","",FALSE,FALSE
"1144","utal1238","Utalingoro","Africa",-9.4366,34.70918,"utal1238","","","atla1278","bena1262",FALSE,FALSE
"1145","laur1249","Laura","Papunesia",-9.4296,119.19,"laur1249","lur","ID","aust1307","weje1237",FALSE,FALSE
"1146","kolu1245","Koluwawa","Papunesia",-9.42742,150.462,"kolu1245","klx","PG","aust1307","",FALSE,FALSE
"1147","mamb1305","Mamboru","Papunesia",-9.42302,119.55,"mamb1305","mvd","ID","aust1307","",FALSE,FALSE
"1148","tokp1240","Tok Pisin","Papunesia",-9.41971,147.303,"tokp1240","tpi","PG","indo1319","",FALSE,FALSE
